,0,1,2,target
930,220,10,225,67.80748663101605
934,203,22,215,67.00534759358288
935,191,17,205,65.56149732620321
936,198,4,213,65.66844919786097
937,196,3,213,65.50802139037432
938,198,11,215,66.14973262032086
939,201,9,218,66.36363636363636
940,206,21,221,67.43315508021391
942,207,6,221,66.68449197860963
943,206,22,220,67.43315508021391
944,203,2,220,66.20320855614973
945,208,15,223,67.32620320855615
946,214,22,227,68.23529411764706
950,231,27,232,69.67914438502675
951,233,4,232,68.55614973262033
952,232,10,231,68.77005347593582
953,228,27,227,69.25133689839572
954,229,29,229,69.5187165775401
955,226,6,229,68.1283422459893
956,218,9,224,67.59358288770053
957,221,11,229,68.1283422459893
960,218,2,214,66.68449197860963
961,229,12,225,68.39572192513369
962,230,2,226,67.96791443850267
963,224,12,220,67.86096256684492
964,223,7,223,67.70053475935829
965,229,21,229,69.0909090909091
966,228,17,228,68.77005347593582
967,220,21,221,68.18181818181819
968,225,11,226,68.18181818181819
969,220,2,223,67.27272727272728
970,218,1,222,67.05882352941177
971,220,0,223,67.16577540106952
974,215,10,219,67.2192513368984
975,206,23,208,66.84491978609626
976,190,27,189,65.18716577540107
977,185,28,181,64.54545454545455
978,185,6,183,63.475935828877006
979,191,12,190,64.49197860962568
980,193,7,194,64.54545454545455
981,193,14,195,64.97326203208556
982,196,6,200,64.97326203208556
987,211,15,215,67.05882352941177
988,215,13,216,67.2192513368984
990,214,28,216,67.96791443850267
991,202,11,205,65.8288770053476
992,197,5,199,64.91978609625669
993,195,10,199,65.08021390374331
994,201,18,202,65.98930481283422
1000,219,7,219,67.27272727272728
1001,218,2,218,66.89839572192514
1002,216,15,218,67.48663101604278
1003,215,16,219,67.54010695187166
1004,218,12,223,67.70053475935829
1005,219,24,225,68.50267379679144
1006,220,28,226,68.82352941176471
1007,219,22,226,68.44919786096257
1008,217,24,224,68.34224598930481
1009,215,17,222,67.75401069518716
1010,217,22,224,68.23529411764706
1014,202,20,216,66.89839572192514
1015,189,10,206,65.1336898395722
1016,194,29,212,66.7379679144385
1017,194,19,215,66.36363636363636
1022,201,26,218,67.27272727272728
1023,203,27,218,67.43315508021391
1024,200,3,218,65.98930481283422
